line_name,start_stop,end_stop,bounds,distance,station_name,station_coords,station_sequence
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,鼎富大厦,"110.259209,25.260782",1
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,东莲站,"110.262978,25.261267",2
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,黑山路口,"110.268585,25.261524",3
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,琴潭汽车客运站,"110.270393,25.257305",4
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,翠竹路,"110.273209,25.261524",5
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,机场路口,"110.277008,25.260504",6
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,象山区政府,"110.280807,25.262547",7
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,东安街口,"110.280113,25.267969",8
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,西门菜市,"110.281708,25.270884",9
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,九岗岭,"110.28138,25.276545",10
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,西凤路口,"110.284279,25.283298",11
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,信义路口,"110.286362,25.28323",12
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,观漪桥,"110.288841,25.281349",13
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,艺术馆,"110.29126,25.279539",14
1路(鼎富大厦--桂林北站),鼎富大厦,桂林北站,"110.259209,25.256216;110.326347,25.330803",18.44542,乐群路口,"110.296288,25.280014",15
